x_curr,y_curr,x_prev,y_prev
8.37942e+39,1.4242e-80,6.32544e+39,2.4993e-80
1.11004e+40,8.11568e-81,8.37942e+39,1.4242e-80
1.47049e+40,4.62464e-81,1.11004e+40,8.11568e-81
1.94798e+40,2.63531e-81,1.47049e+40,4.62464e-81
2.58052e+40,1.5017e-81,1.94798e+40,2.63531e-81
3.41846e+40,8.55732e-82,2.58052e+40,1.5017e-81
4.5285e+40,4.87631e-82,3.41846e+40,8.55732e-82
5.99899e+40,2.77872e-82,4.5285e+40,4.87631e-82
7.94697e+40,1.58342e-82,5.99899e+40,2.77872e-82
1.05275e+41,9.02299e-83,7.94697e+40,1.58342e-82
1.3946e+41,5.14166e-83,1.05275e+41,9.02299e-83
1.84745e+41,2.92993e-83,1.3946e+41,5.14166e-83
2.44734e+41,1.66959e-83,1.84745e+41,2.92993e-83
3.24204e+41,9.514e-84,2.44734e+41,1.66959e-83
4.29479e+41,5.42146e-84,3.24204e+41,9.514e-84
5.68939e+41,3.08937e-84,4.29479e+41,5.42146e-84
7.53683e+41,1.76044e-84,5.68939e+41,3.08937e-84
9.98418e+41,1.00317e-84,7.53683e+41,1.76044e-84
1.32262e+42,5.71648e-85,9.98418e+41,1.00317e-84
1.7521e+42,3.25748e-85,1.32262e+42,5.71648e-85
2.32104e+42,1.85624e-85,1.7521e+42,3.25748e-85
3.07472e+42,1.05776e-85,2.32104e+42,1.85624e-85
4.07314e+42,6.02756e-86,3.07472e+42,1.05776e-85
5.39576e+42,3.43475e-86,4.07314e+42,6.02756e-86
7.14786e+42,1.95726e-86,5.39576e+42,3.43475e-86
9.4689e+42,1.11532e-86,7.14786e+42,1.95726e-86
1.25436e+43,6.35556e-87,9.4689e+42,1.11532e-86
1.66168e+43,3.62166e-87,1.25436e+43,6.35556e-87
2.20125e+43,2.06377e-87,1.66168e+43,3.62166e-87
2.91604e+43,1.17602e-87,2.20125e+43,2.06377e-87
3.86293e+43,6.70142e-88,2.91604e+43,1.17602e-87
5.11729e+43,3.81874e-88,3.86293e+43,6.70142e-88
6.77897e+43,2.17607e-88,5.11729e+43,3.81874e-88
8.98022e+43,1.24001e-88,6.77897e+43,2.17607e-88
1.18963e+44,7.06609e-89,8.98022e+43,1.24001e-88
